Data group,cruise,Station,type,mon/day/yy,hh:mm,Longitude [degrees East],Latitude [degrees North],Bot. Depth [m],Depth [m],Temperature [oC],Salinity [pss-78],SIGMA-0 [kg m-3],Oxygen [~$m~#mol/kg],Phosphate [~$m~#mol/kg],Silicate [~$m~#mol/kg],Nitrite [~$m~#mol/kg],Nitrate [~$m~#mol/kg],NH4 [~$m~#mol/kg],N deficit [~$m~#mol/kg]
1,TGT37,24,b,5/16/69,,-101.58,13.024,,1371,3.39,34.595,27.55,38.66687057,3.09,123.59,,42.33,,
1,TGT37,24,b,5/16/69,,-101.58,13.024,,1300,3.57,34.59,27.53,31.71614037,,,,,,
1,TGT37,24,b,5/16/69,,-101.58,13.024,,1200,3.85,34.58,27.49,23.89665245,,,,,,
1,TGT37,24,b,5/16/69,,-101.58,13.024,,1172,3.94,34.578,27.48,21.72444093,3.16,111.92,,43.21,,
1,TGT37,24,b,5/16/69,,-101.58,13.024,,1100,4.18,34.57,27.45,17.3800602,,,,,,
1,TGT37,24,b,5/16/69,,-101.58,13.024,,1000,4.55,34.56,27.4,12.60115687,,,,,,
1,TGT37,24,b,5/16/69,,-101.58,13.024,,976,4.64,34.56,27.39,11.73222576,3.21,98.31,,43.70,,
1,TGT37,24,b,5/16/69,,-101.58,13.024,,900,5.02,34.56,27.34,8.256412538,,,,,,
1,TGT37,24,b,5/16/69,,-101.58,13.024,,800,5.61,34.55,27.27,4.780354031,,,,,,
1,TGT37,24,b,5/16/69,,-101.58,13.024,,780,5.74,34.55,27.25,3.911274902,3.29,80.80,,41.86,,
1,TGT37,24,b,5/16/69,,-101.58,13.024,,700,6.33,34.56,27.18,3.47692573,,,,,,
1,TGT37,24,b,5/16/69,,-101.58,13.024,,600,7.19,34.57,27.08,3.042606223,,,,,,
1,TGT37,24,b,5/16/69,,-101.58,13.024,,586,7.32,34.574,27.06,3.042665472,3.15,63.29,,35.15,,
1,TGT37,24,b,5/16/69,,-101.58,13.024,,500,8.26,34.59,26.94,5.216607452,,,,,,
1,TGT37,24,b,5/16/69,,-101.58,13.024,,487,8.41,34.595,26.91,5.651489837,2.97,52.58,,30.48,,
1,TGT37,24,b,5/16/69,,-101.58,13.024,,400,9.49,34.66,26.79,3.478246352,,,,,,
1,TGT37,24,b,5/16/69,,-101.58,13.024,,389,9.63,34.668,26.77,3.04352484,2.76,42.85,,27.85,,
1,TGT37,24,b,5/16/69,,-101.58,13.024,,300,10.85,34.75,26.62,6.522791852,,,,,,
1,TGT37,24,b,5/16/69,,-101.58,13.024,,293,10.95,34.753,26.61,6.957712415,2.44,31.17,,32.05,,
1,TGT37,24,b,5/16/69,,-101.58,13.024,,250,11.34,34.77,26.55,2.174412213,,,,,,
1,TGT37,24,b,5/16/69,,-101.58,13.024,,243,11.39,34.767,26.54,0.869773358,2.48,30.20,,30.98,,
1,TGT37,24,b,5/16/69,,-101.58,13.024,,200,11.98,34.8,26.46,0.869841146,,,,,,
1,TGT37,24,b,5/16/69,,-101.58,13.024,,194,12.08,34.81,26.45,1.304774431,2.40,28.25,,30.59,,
1,TGT37,24,b,5/16/69,,-101.58,13.024,,150,13.17,34.502,25.99,0,2.42,25.34,,29.05,,
1,TGT37,24,b,5/16/69,,-101.58,13.024,,125,14.91,34.56,25.67,12.62241127,,,,,,
1,TGT37,24,b,5/16/69,,-101.58,13.024,,100,18.41,34.807,25.04,41.374692,1.83,12.68,,22.73,,
1,TGT37,24,b,5/16/69,,-101.58,13.024,,75,22.64,34.14,23.4,177.541947,0.33,1.95,,1.27,,
1,TGT37,24,b,5/16/69,,-101.58,13.024,,50,29.14,33.798,21.14,208.5379366,0.07,0.98,,0.00,,
1,TGT37,24,b,5/16/69,,-101.58,13.024,,30,29.9,33.786,20.87,197.2232368,0.07,0.98,,0.00,,
1,TGT37,24,b,5/16/69,,-101.58,13.024,,20,29.92,33.787,20.87,200.7216534,0.05,0.98,,0.00,,
