Depth,Type,notes,AM#,Tube,Fluo_i,Fluo_ii,Niskin,Run,Date,Cast/Trap,Station,bad_i,bad_ii,,StConc,StFluo_i,StFluo_ii,Run,badstd_i,badstd_ii
10,sw,,,A,364,371,,2,20170106,30,P1,,,,460,877,856,2,,
35,sw,,,B,406,409,,2,20170106,30,P1,,,,230,651,658,2,,
40,sw,,,C,372,377,,2,20170106,30,P1,,,,115,534,525,2,,
50,sw,,,D,381,375,,2,20170106,30,P1,,,,57.5,500,483,2,,
70,sw,,,E,370,366,,2,20170106,30,P1,,,,28.75,461,462,2,,
80,sw,,,F,388,388,,2,20170106,30,P1,,,,14.375,447,453,2,,
90,sw,,,G,373,368,,2,20170106,30,P1,,,,0,382,393,2,,
110,sw,,,H,390,367,,2,20170106,30,P1,,,,,,,,,
130,sw,,,I,367,347,,2,20170106,30,P1,,,,,,,,,
150,sw,,,J,375,366,,2,20170106,30,P1,,,,,,,,,
175,sw,,,K,379,362,,2,20170106,30,P1,,,,,,,,,
200,sw,,,L,364,356,,2,20170106,30,P1,,,,,,,,,
250,sw,,,M,367,353,,2,20170106,30,P1,,,,,,,,,
300,sw,,,N,359,364,,2,20170106,30,P1,,,,,,,,,
350,sw,,,O,368,370,,2,20170106,30,P1,,,,,,,,,
400,sw,,,P,365,357,,2,20170106,30,P1,,,,,,,,,
500,sw,,,Q,344,352,,2,20170106,30,P1,,,,,,,,,
600,sw,,,R,356,371,,2,20170106,30,P1,,,,,,,,,
700,sw,,,S,359,407,,2,20170106,30,P1,,,,,,,,,
850,sw,,,T,356,368,,2,20170106,30,P1,,,,,,,,,
1000,sw,,,U,354,362,,2,20170106,30,P1,,,,,,,,,
1500,sw,,,V,357,366,,2,20170106,30,P1,,,,,,,,,
2000,sw,,,W,374,347,,2,20170106,30,P1,,,,,,,,,
2500,sw,,,X,362,353,,2,20170106,30,P1,,,,,,,,,
10,sw,,,X,318,309,,3,20170105,28,P1,,,,,,,,,
25,sw,,,Y,315,317,,3,20170105,28,P1,,,,0,300,300,3,,
30,sw,,,Z,337,315,,3,20170105,28,P1,,,,15.625,361,363,3,,
35,sw,,,AA,400,378,,3,20170105,28,P1,,,,31.25,366,373,3,,
40,sw,,,AB,297,294,,3,20170105,28,P1,,,,62.5,401,405,3,,
45,sw,,,AC,292,293,,3,20170105,28,P1,,,,125,474,467,3,,
50,sw,,,A,298,293,,3,20170105,28,P1,,,,250,595,579,3,,
60,sw,,,B,299,298,,3,20170105,28,P1,,,,500,852,835,3,,
215,sw,,,C,277,301,,3,20170105,28,P1,,,,1000,1361,1319,3,,
275,sw,,,D,293,291,,3,20170105,28,P1,,,,,,,,,
302,sw,,,E,286,285,,3,20170105,28,P1,,,,,,,,,
341,sw,,,F,290,292,,3,20170105,28,P1,,,,,,,,,
425,sw,,,G,290,284,,3,20170105,28,P1,,,,,,,,,
0,sw,,,H,327,313,,3,20170105,29,P1,,,,,,,,,
25,sw,,,I,313,311,,3,20170105,29,P1,,,,,,,,,
30,sw,,,J,311,307,,3,20170105,29,P1,,,,,,,,,
35,sw,,,K,286,295,,3,20170105,29,P1,,,,,,,,,
40,sw,,,L,286,288,,3,20170105,29,P1,,,,,,,,,
45,sw,,,M,289,295,,3,20170105,29,P1,,,,,,,,,
50,sw,,,N,283,288,,3,20170105,29,P1,,,,,,,,,
60,sw,,,O,295,289,,3,20170105,29,P1,,,,,,,,,
215,sw,,,P,299,295,,3,20170105,29,P1,,,,,,,,,
260,sw,,,Q,309,290,,3,20170105,29,P1,,,,,,,,,
275,sw,,,R,282,300,,3,20170105,29,P1,,,,,,,,,
302,sw,,,S,296,311,,3,20170105,29,P1,,,,,,,,,
315,sw,,,T,296,302,,3,20170105,29,P1,,,,,,,,,
341,sw,,,U,287,303,,3,20170105,29,P1,,,,,,,,,
364,sw,,,V,286,282,,3,20170105,29,P1,,,,,,,,,
425,sw,,,W,284,304,,3,20170105,29,P1,,,,,,,,,
30,sw,,,A,408,590,22,1,20170103,23,P1,,,,0,357.4,337.9,1,flag,flag
150,sw,,,B,,509,11,1,20170103,23,P1,,,,15.625,541.4,501.7,1,flag,flag
200,sw,,,C,563.6,562.4,6,1,20170103,23,P1,,,,31.25,566.6,564.1,1,flag,flag
258,sw,,,D,589.4,574.8,4,1,20170103,23,P1,,,,62.5,559.1,580.7,1,flag,flag
277,sw,,,E,576.2,502,3,1,20170103,23,P1,,,,125,624,535.8,1,flag,flag
307,sw,,,F,575.7,575,2,1,20170103,23,P1,,,,250,441.3,625.4,1,flag,flag
400,sw,,,G,579,574.7,1,1,20170103,23,P1,,,,500,696.2,677.7,1,,
10,sw,,,L,507.5,514.6,24,1.5,20170103,24,P1,,,,1000,842.7,806.9,1,,
25,sw,,,M,499.2,513.7,23,1.5,20170103,24,P1,,,,0,518.4,526.5,1.5,,
30,sw,,,N,525.2,525.5,22,1.5,20170103,24,P1,,,,15.625,529.7,537.5,1.5,,
35,sw,,,O,534.8,559.3,21,1.5,20170103,24,P1,,,,31.25,532,548,1.5,,
40,sw,,,P,522.5,515.9,19,1.5,20170103,24,P1,,,,62.5,542.6,545.1,1.5,,
45,sw,,,Q,517.6,510.3,18,1.5,20170103,24,P1,,,,125,559.3,578.3,1.5,,
50,sw,,,R,514.2,510.2,17,1.5,20170103,24,P1,,,,250,595.2,643.6,1.5,,
60,sw,,,S,506.8,501,16,1.5,20170103,24,P1,,,,500,668.3,723.9,1.5,,
100,sw,,,T,508.5,508.7,11,1.5,20170103,24,P1,,,,1000,864.7,889.7,1.5,,
750,sw,,,U,503.1,503.1,1,1.5,20170103,24,P1,,,,0,418,421,4,,
43,sw,,,A,2321,2060,23,4,20170107,31,P1,,,,15.625,442,453,4,,
60,sw,,,B,432,436,22,4,20170107,31,P1,,,,31.25,464,469,4,,
70,sw,,,C,422,422,21,4,20170107,31,P1,,,,62.5,493,491,4,,
80,sw,,,D,451,460,20,4,20170107,31,P1,,,,125,553,560,4,,
90,sw,,,E,482,484,19,4,20170107,31,P1,,,,250,668,660,4,,
100,sw,,,F,419,412,18,4,20170107,31,P1,,,,500,878,922,4,,
110,sw,,,G,414,415,17,4,20170107,31,P1,,,,1000,1357,1366,4,,
120,sw,,,H,411,414,16,4,20170107,31,P1,,,,,,,,,
140,sw,,,I,422,419,15,4,20170107,31,P1,,,,,,,,,
160,sw,,,J,419,431,14,4,20170107,31,P1,,,,,,,,,
180,sw,,,K,420,412,13,4,20170107,31,P1,,,,,,,,,
200,sw,,,L,421,419,11,4,20170107,31,P1,,,,,,,,,
250,sw,,,M,413,416,9,4,20170107,31,P1,,,,,,,,,
300,sw,,,N,416,420,8,4,20170107,31,P1,,,,,,,,,
350,sw,,,O,419,416,7,4,20170107,31,P1,,,,,,,,,
400,sw,,,P,416,436,6,4,20170107,31,P1,,,,,,,,,
500,sw,,,Q,416,422,5,4,20170107,31,P1,,,,,,,,,
650,sw,,,R,410,417,4,4,20170107,31,P1,,,,,,,,,
750,sw,,,S,-42,405,3,4,20170107,31,P1,flag,,,,,,,,
850,sw,,,T,412,414,2,4,20170107,31,P1,,,,,,,,,
1000,sw,,,U,413,415,1,4,20170107,31,P1,,,,,,,,,
10,sw,mld,,X,409,390,24,5,20170108,32,P2,,,,0,374,386,5,,
35,sw,cmax,,Y,424,405,23,5,20170108,32,P2,,,,15.625,428,426,5,,
55,sw,cmax+5,,Z,1807,1783,22,5,20170108,32,P2,,,,31.25,429,445,5,,
60,sw,,,AA,420,398,21,5,20170108,32,P2,,,,62.5,477,475,5,,
70,sw,,,AB,389,385,20,5,20170108,32,P2,,,,125,535,525,5,,
80,sw,,,AC,405,401,19,5,20170108,32,P2,,,,250,654,653,5,,
90,sw,,,B,395,396,18,5,20170108,32,P2,,,,500,895,866,5,,
100,sw,,,C,404,389,16,5,20170108,32,P2,,,,1000,1337,1339,5,,
110,sw,above,,D,398,389,15,5,20170108,32,P2,,,,2000,2311,2293,5,,
120,sw,top,,E,402,381,14,5,20170108,32,P2,,,,,,,,,
200,sw,between,,F,396,391,10,5,20170108,32,P2,,,,,,,,,
275,sw,bottom,,G,39,379,8,5,20170108,32,P2,,,,,,,,,
310,sw,below,,H,405,398,7,5,20170108,32,P2,,,,,,,,,
350,sw,,,I,385,383,6,5,20170108,32,P2,,,,,,,,,
500,sw,,,J,403,396,4,5,20170108,32,P2,,,,,,,,,
148,pp,,,K,419,399,,5,20170108,,P2,,,,,,,,,
148,sc,,,L,401,396,,5,20170108,,P2,,,,,,,,,
75,pp,,,M,452,457,,5,20170108,,P2,,,,,,,,,
75,sc,,,N,419,445,,5,20170108,,P2,,,,,,,,,
0,sw,mld,,O,442,438,23,6,20170109,34,P2,,,,0,393,406,6,,
49,sw,cmax,,Q,600,613,20,6,20170109,34,P2,,,,15.625,434,443,6,,
54,sw,cmax+5,,R,765,770,17,6,20170109,34,P2,,,,31.25,457,451,6,,
70,sw,,,S,413,407,15,6,20170109,34,P2,,,,62.5,498,483,6,,
95,sw,,,T,456,445,11,6,20170109,34,P2,,,,125,558,536,6,,
130,sw,o2->0,,U,402,399,7,6,20170109,34,P2,,,,250,675,657,6,,
165,sw,,,V,416,398,3,6,20170109,34,P2,,,,500,897,888,6,,
500,sw,,,W,398,401,1,6,20170109,34,P2,,,,1000,1348,1314,6,,
120,pp,,,AC,486,488,,7,20170110,,P2,,,,2000,2303,2229,6,,
120,sc,,,A,485,482,,7,20170110,,P2,,,,,,,,,
179,pp,,,B,485,501,,7,20170110,,P2,,,,0,435,416,7,,
179,sc,,,C,453,453,,7,20170110,,P2,,,,15.625,481,475,7,,
100,pp,,,D,502,504,,7,20170110,,P2,,,,31.25,503,491,7,,
100,sc,,,E,195,497,,7,20170110,,P2,,,,62.5,545,523,7,,
150,pp,,,F,605,607,,7,20170110,,P2,,,,125,586,583,7,,
150,sc,,,Y,462,451,,7,20170110,,P2,,,,250,728,,7,,
10,sw,mld,,G,426,429,24,7,20170110,35,P2,,,,500,940,924,7,,
50,sw,cmax,,H,,1151,23,7,20170110,35,P2,,,,1000,1411,1377,7,,
55,sw,cmax+5,,I,705,647,18,7,20170110,35,P2,,,,2000,2399,2281,7,,
75,sw,o2->0,,J,453,426,13,7,20170110,35,P2,,,,,,,,,
90,sw,o2->0,,BA,560,479,12,7,20170110,35,P2,,,,,,,,,
100,sw,o2->0,,BB,442,455,11,7,20170110,35,P2,,,,,,,,,
10,sw,,,Z,435,447,24,7,20170110,36,P2,,,,,,,,,
48,sw,,,AA,1412,1479,22,7,20170110,36,P2,,,,,,,,,
52,sw,,,AB,1292,1357,21,7,20170110,36,P2,,,,,,,,,
55,sw,,,K,750,757,20,7,20170110,36,P2,,,,,,,,,
58,sw,,,L,746,747,19,7,20170110,36,P2,,,,,,,,,
63,sw,,,M,435,427,18,7,20170110,36,P2,,,,,,,,,
80,sw,,,N,433,415,17,7,20170110,36,P2,,,,,,,,,
85,sw,,,O,440,428,16,7,20170110,36,P2,,,,,,,,,
90,sw,,,P,446,437,15,7,20170110,36,P2,,,,,,,,,
95,sw,,,Q,452,437,14,7,20170110,36,P2,,,,,,,,,
100,sw,,,R,429,428,13,7,20170110,36,P2,,,,,,,,,
