cruise,station,mon/day/yy,hh:mm,longitude [degrees east],latitude [degrees north],Bot. Depth [m],BOTTLE NUMBER,PRESSURE [DB],TEMPERATURE [C],SALINITY [PSU],CHLOROPHYLL [MG/M^3],PAR,OXYGEN [umol/l],TRANSMISSOMETRY [%],NITRATE [umol/L],NITRITE [umol/L],PHOSPHATE [umol/L],AMMONIUM [umol/L],SILICATE [umol/L]
TN278,2,3/17/2012,18:22,-117.481,32.60583,1194,1,1198.42,3.5639,34.5158,0.4489,1.00E-12,26.683,99.9015,43.38,0.1,3.24,0,135.57
TN278,2,3/17/2012,18:22,-117.481,32.60583,1194,2,974.615,4.1917,34.4686,0.4414,1.00E-12,17.114,100.1222,43.58,0.08,3.26,0,119.08
TN278,2,3/17/2012,18:22,-117.481,32.60583,1194,3,973.991,4.2178,34.467,0.4489,1.00E-12,17.173,100.0998,,,,,
TN278,2,3/17/2012,18:22,-117.481,32.60583,1194,4,923.567,4.4638,34.4496,0.4302,1.00E-12,14.444,100.1554,43.46,0.08,3.24,0,112.76
TN278,2,3/17/2012,18:22,-117.481,32.60583,1194,5,852.096,4.812,34.4238,0.4607,1.00E-12,11.249,100.0671,42.82,0.05,3.27,0,105.84
TN278,2,3/17/2012,18:22,-117.481,32.60583,1194,6,852.52,4.8173,34.4237,0.4613,1.00E-12,11.189,100.144,,,,,
TN278,2,3/17/2012,18:22,-117.481,32.60583,1194,7,791.955,5.0675,34.4045,0.4551,1.00E-12,9.534,100.1145,42.18,0.09,3.25,0,101.42
TN278,2,3/17/2012,18:22,-117.481,32.60583,1194,8,731.368,5.3598,34.3817,0.4489,1.00E-12,8.75,100.0039,41.58,0.09,3.25,0,95.83
TN278,2,3/17/2012,18:22,-117.481,32.60583,1194,9,730.915,5.3588,34.382,0.4327,1.00E-12,8.71,99.9914,,,,,
TN278,2,3/17/2012,18:22,-117.481,32.60583,1194,10,670.724,5.5839,34.3624,0.4489,1.00E-12,8.636,100.1145,41.1,0.08,3.21,0,90.42
TN278,2,3/17/2012,18:22,-117.481,32.60583,1194,11,609.574,5.9408,34.3349,0.434,1.00E-12,9.685,100.1478,40.03,0.06,3.17,0,83.06
TN278,2,3/17/2012,18:22,-117.481,32.60583,1194,12,609.936,5.9371,34.3349,0.4489,1.00E-12,9.893,100.1505,,,,,
TN278,2,3/17/2012,18:22,-117.481,32.60583,1194,13,549.034,6.2601,34.3179,0.4477,1.00E-12,11.743,99.9865,38.77,0.06,3.07,0,78.02
TN278,2,3/17/2012,18:22,-117.481,32.60583,1194,14,487.728,6.7238,34.3015,0.4134,1.00E-12,14.97,99.9505,37.51,0.04,3,0,69.28
TN278,2,3/17/2012,18:22,-117.481,32.60583,1194,15,488.356,6.749,34.2998,0.4072,1.00E-12,15.253,99.9565,,,,,
TN278,2,3/17/2012,18:22,-117.481,32.60583,1194,16,428.059,7.2307,34.2959,0.429,1.00E-12,18.807,99.9996,35.89,0.03,2.93,0,64.59
TN278,2,3/17/2012,18:22,-117.481,32.60583,1194,17,366.494,7.9801,34.3148,0.4302,1.00E-12,23.127,99.8682,34.44,0.03,2.93,0,58.34
TN278,2,3/17/2012,18:22,-117.481,32.60583,1194,18,245.265,9.1871,34.3381,0.4321,1.00E-12,32.579,99.7511,30.09,0.03,2.64,0,45.47
TN278,2,3/17/2012,18:22,-117.481,32.60583,1194,19,246.069,9.1887,34.3379,0.414,1.00E-12,32.446,99.7631,,,,,
TN278,2,3/17/2012,18:22,-117.481,32.60583,1194,20,124.215,9.748,34.1632,0.3879,1.00E-12,63.172,99.4083,27.54,0.04,2.32,0,37.24
