,cruise,lat,long,marker,color
1,TGT001,16.45,-101.75,circle1,red
2,TGT001,16.45,-101.75,circle1,red
3,TGT001,16.45,-101.75,circle1,red
4,TGT001,16.45,-101.75,circle1,red
5,TGT001,16.45,-101.75,circle1,red
6,TGT001,16.45,-101.75,circle1,red
7,TGT001,16.45,-101.75,circle1,red
8,TGT001,16.45,-101.75,circle1,red
9,TGT001,16.45,-101.75,circle1,red
10,TGT001,16.45,-101.75,circle1,red
11,TGT001,16.45,-101.75,circle1,red
12,TGT001,16.45,-101.75,circle1,red
13,TGT001,16.45,-101.75,circle1,red
14,TGT001,16.45,-101.75,circle1,red
15,TGT001,16.45,-101.75,circle1,red
16,TGT001,16.45,-101.75,circle1,red
17,TGT001,16.45,-101.75,circle1,red
18,TGT001,16.45,-101.75,circle1,red
19,TGT001,16.45,-101.75,circle1,red
20,TGT001,16.45,-101.75,circle1,red
21,TGT001,16.45,-101.75,circle1,red
22,TGT001,16.45,-101.75,circle1,red
23,TGT001,16.45,-101.75,circle1,red
24,TGT001,16.45,-101.75,circle1,red
25,TGT001,16.45,-101.75,circle1,red
26,TGT001,16.45,-101.75,circle1,red
27,TGT001,16.45,-101.75,circle1,red
28,TGT001,16.45,-101.75,circle1,red
29,TGT001,16.45,-101.75,circle1,red
30,TGT001,16.45,-101.75,circle1,red
31,TGT001,16.45,-101.75,circle1,red
32,TGT001,16.45,-101.75,circle1,red
33,TGT001,16.45,-101.75,circle1,red
34,TGT001,17.38,-103.28,circle1,red
35,TGT001,17.38,-103.28,circle1,red
36,TGT001,17.38,-103.28,circle1,red
37,TGT001,17.38,-103.28,circle1,red
38,TGT001,17.38,-103.28,circle1,red
39,TGT001,17.38,-103.28,circle1,red
40,TGT001,17.38,-103.28,circle1,red
41,TGT001,17.38,-103.28,circle1,red
42,TGT001,17.38,-103.28,circle1,red
43,TGT001,17.38,-103.28,circle1,red
44,TGT001,18.71,-105.45,circle1,red
45,TGT001,18.71,-105.45,circle1,red
46,TGT001,18.71,-105.45,circle1,red
47,TGT001,18.71,-105.45,circle1,red
48,TGT001,18.71,-105.45,circle1,red
49,TGT001,18.71,-105.45,circle1,red
50,TGT001,18.71,-105.45,circle1,red
51,TGT001,18.71,-105.45,circle1,red
52,TGT001,18.71,-105.45,circle1,red
53,TGT001,18.71,-105.45,circle1,red
54,TGT001,18.71,-105.45,circle1,red
55,TGT001,18.71,-105.45,circle1,red
56,TGT001,18.71,-105.45,circle1,red
57,TGT001,18.71,-105.45,circle1,red
58,TGT001,18.71,-105.45,circle1,red
59,TGT001,18.71,-105.45,circle1,red
60,TGT001,18.71,-105.45,circle1,red
61,TGT001,18.71,-105.45,circle1,red
62,TGT001,18.71,-105.45,circle1,red
63,TGT001,18.71,-105.45,circle1,red
64,TGT001,18.71,-105.45,circle1,red
65,TGT001,18.71,-105.45,circle1,red
66,TGT001,18.71,-105.45,circle1,red
67,TGT001,18.71,-105.45,circle1,red
68,TGT001,18.71,-105.45,circle1,red
69,TGT001,18.71,-105.45,circle1,red
70,TGT001,18.71,-105.45,circle1,red
71,TGT001,18.71,-105.45,circle1,red
72,TGT001,18.71,-105.45,circle1,red
73,TGT001,18.71,-105.45,circle1,red
74,TGT001,18.71,-105.45,circle1,red
75,TGT001,18.71,-105.45,circle1,red
76,TGT001,18.71,-105.45,circle1,red
77,TGT001,20.067,-107.08,circle1,red
78,TGT001,20.067,-107.08,circle1,red
79,TGT001,20.067,-107.08,circle1,red
80,TGT001,20.067,-107.08,circle1,red
81,TGT001,20.067,-107.08,circle1,red
82,TGT001,20.067,-107.08,circle1,red
83,TGT001,20.067,-107.08,circle1,red
84,TGT001,20.067,-107.08,circle1,red
85,TGT001,20.067,-107.08,circle1,red
86,TGT001,20.067,-107.08,circle1,red
87,TGT001,20.067,-107.08,circle1,red
88,TGT001,20.067,-107.08,circle1,red
89,TGT001,20.067,-107.08,circle1,red
90,TGT001,21.67,-109.24,circle1,red
91,TGT001,21.67,-109.24,circle1,red
92,TGT001,21.67,-109.24,circle1,red
93,TGT001,21.67,-109.24,circle1,red
94,TGT001,21.67,-109.24,circle1,red
95,TGT001,21.67,-109.24,circle1,red
96,TGT001,21.67,-109.24,circle1,red
97,TGT001,21.67,-109.24,circle1,red
98,TGT001,21.67,-109.24,circle1,red
99,TGT001,21.67,-109.24,circle1,red
100,TGT001,21.67,-109.24,circle1,red
101,TGT001,21.67,-109.24,circle1,red
102,TGT001,21.67,-109.24,circle1,red
103,TGT001,21.67,-109.24,circle1,red
104,TGT001,21.67,-109.24,circle1,red
105,TGT001,21.67,-109.24,circle1,red
106,TGT001,21.67,-109.24,circle1,red
107,TGT001,21.67,-109.24,circle1,red
108,TGT001,21.67,-109.24,circle1,red
109,TGT001,21.67,-109.24,circle1,red
110,TGT001,21.67,-109.24,circle1,red
111,TGT001,21.67,-109.24,circle1,red
112,TGT001,21.67,-109.24,circle1,red
113,TGT001,21.67,-109.24,circle1,red
114,TGT001,21.67,-109.24,circle1,red
115,TGT001,21.67,-109.24,circle1,red
116,TGT001,21.67,-109.24,circle1,red
117,TGT001,21.67,-109.24,circle1,red
118,TGT001,21.67,-109.24,circle1,red
119,TGT001,21.67,-109.24,circle1,red
120,TGT001,21.67,-109.24,circle1,red
121,TGT001,21.67,-109.24,circle1,red
122,TGT001,23.023,-110.82,circle1,red
123,TGT001,23.023,-110.82,circle1,red
124,TGT001,23.023,-110.82,circle1,red
125,TGT001,23.023,-110.82,circle1,red
126,TGT001,23.023,-110.82,circle1,red
127,TGT001,23.023,-110.82,circle1,red
128,TGT001,23.023,-110.82,circle1,red
129,TGT001,23.023,-110.82,circle1,red
130,TGT001,23.023,-110.82,circle1,red
131,TGT001,23.023,-110.82,circle1,red
132,TGT001,23.023,-110.82,circle1,red
133,TGT001,23.023,-110.82,circle1,red
134,TGT001,23.023,-110.82,circle1,red
135,TGT001,23.023,-110.82,circle1,red
136,TGT37,13.024,-101.58,square1,green
137,TGT37,13.024,-101.58,square1,green
138,TGT37,13.024,-101.58,square1,green
139,TGT37,13.024,-101.58,square1,green
140,TGT37,13.024,-101.58,square1,green
141,TGT37,13.024,-101.58,square1,green
142,TGT37,13.024,-101.58,square1,green
143,TGT37,13.024,-101.58,square1,green
144,TGT37,13.024,-101.58,square1,green
145,TGT37,13.024,-101.58,square1,green
146,TGT37,13.024,-101.58,square1,green
147,TGT37,13.024,-101.58,square1,green
148,TGT37,13.024,-101.58,square1,green
149,TGT37,13.024,-101.58,square1,green
150,TGT37,13.024,-101.58,square1,green
151,TGT37,13.024,-101.58,square1,green
152,TGT37,13.024,-101.58,square1,green
153,TGT37,13.024,-101.58,square1,green
154,TGT37,13.024,-101.58,square1,green
155,TGT37,13.024,-101.58,square1,green
156,TGT37,13.024,-101.58,square1,green
157,TGT37,13.024,-101.58,square1,green
158,TGT37,13.024,-101.58,square1,green
159,TGT37,13.024,-101.58,square1,green
160,TGT37,13.024,-101.58,square1,green
161,TGT37,13.024,-101.58,square1,green
162,TGT37,13.024,-101.58,square1,green
163,TGT37,13.024,-101.58,square1,green
164,TGT37,13.024,-101.58,square1,green
165,TGT37,13.024,-101.58,square1,green
166,TGT37,13.024,-101.58,square1,green
167,TGT37,13.024,-101.58,square1,green
168,TGT37,14.5,-102.92,square1,green
169,TGT37,14.5,-102.92,square1,green
170,TGT37,14.5,-102.92,square1,green
171,TGT37,14.5,-102.92,square1,green
