Season,Genus_Species,Total_length_.mm.,d13C,d15N
Dry,Boesemania microlepis,203,-23.5849,10.0317
Dry,Boesemania microlepis,204,-30.3761,11.188
Dry,Boesemania microlepis,236,-28.2798,12.0136
Dry,Boesemania microlepis,239,-28.6341,12.2407
Dry,Boesemania microlepis,248,-25.3286,10.7194
Dry,Boesemania microlepis,248,-25.0993,10.6779
Dry,Boesemania microlepis,269,-28.3953,12.5865
Dry,Boesemania microlepis,278,-25.7046,10.98
Dry,Boesemania microlepis,294,-27.1781,11.7231
Dry,Boesemania microlepis,321,-28.3341,12.4182
Dry,Boesemania microlepis,444,-27.7978,11.7948
Dry,Boesemania microlepis,452,-28.4426,11.6537
Dry,Boesemania microlepis,740,-30.259,12.2397
Wet,Boesemania microlepis,130,-36.0103,9.5163
Wet,Boesemania microlepis,150,-28.0995,13.1586
Wet,Boesemania microlepis,220,-29.8508,12.2828
Wet,Boesemania microlepis,226,-24.7908,12.7332
Wet,Boesemania microlepis,280,-27.3745,13.1554
Wet,Boesemania microlepis,342,-29.6482,13.2076
Wet,Boesemania microlepis,342,-29.3278,13.1547
Wet,Boesemania microlepis,430,-28.162,13.5281
Wet,Boesemania microlepis,430,-28.1139,13.5713
Wet,Boesemania microlepis,430,-28.0599,13.4744
Dry,Channa micropeltes,290,-33.1359,8.3223
Dry,Channa micropeltes,306,-34.0726,8.2769
Dry,Channa micropeltes,319,-33.7252,8.2696
Dry,Channa micropeltes,320,-33.7437,7.485
Dry,Channa micropeltes,334,-35.1509,8.4144
Dry,Channa micropeltes,334,-31.8091,8.81
Dry,Channa micropeltes,342,-31.7816,8.9309
Dry,Channa micropeltes,344,-33.1906,9.8095
Dry,Channa micropeltes,354,-30.5766,8.9686
Dry,Channa micropeltes,358,-31.7019,9.1435
Dry,Channa micropeltes,378,-32.6377,9.2791
Dry,Channa micropeltes,395,-32.234,9.394
Dry,Channa micropeltes,419,-32.6412,8.8023
Dry,Channa micropeltes,420,-33.2293,9.6084
Dry,Channa micropeltes,420,-29.8146,9.771
Dry,Channa micropeltes,583,-29.456,10.7067
Wet,Channa micropeltes,240,-32.7661,10.5048
Wet,Channa micropeltes,280,-31.6626,8.3395
Wet,Channa micropeltes,289,-34.0465,5.8126
Wet,Channa micropeltes,295,-33.0759,10.3908
Wet,Channa micropeltes,305,-33.0135,10.793
Wet,Channa micropeltes,430,-26.9555,11.8874
Dry,Chitala ornata,70,-29.9213,13.3212
Dry,Chitala ornata,70,-28.4323,12.4027
Dry,Chitala ornata,240,-26.0882,11.8259
Dry,Chitala ornata,247,-30.3218,9.7314
Dry,Chitala ornata,300,-31.9359,10.0557
Dry,Chitala ornata,423,-31.4437,9.8442
Dry,Chitala ornata,558,-30.052,9.346
Dry,Chitala ornata,592,-31.2641,9.9079
Dry,Chitala ornata,,-29.9054,9.7202
Wet,Chitala ornata,248,-32.6952,9.4937
Wet,Chitala ornata,299,-32.4709,8.5985
Wet,Chitala ornata,336,-33.441,10.6443
Wet,Chitala ornata,363,-28.2707,10.0892
Wet,Chitala ornata,380,-33.4479,9.3319
Wet,Chitala ornata,389,-30.5138,8.3843
Dry,Hemibagrus spilopterus,191,-30.1783,10.7788
Dry,Hemibagrus spilopterus,197,-29.058,10.784
Dry,Hemibagrus spilopterus,205,-27.6027,11.0659
Dry,Hemibagrus spilopterus,207,-30.7222,10.1001
Dry,Hemibagrus spilopterus,233,-30.6096,10.6231
Dry,Hemibagrus spilopterus,240,-27.1644,11.2225
Dry,Hemibagrus spilopterus,241,-30.3659,10.4446
Dry,Hemibagrus spilopterus,246,-30.5211,10.325
Dry,Hemibagrus spilopterus,258,-28.9609,10.1904
Dry,Hemibagrus spilopterus,,-30.307,11.5859
Dry,Hemibagrus spilopterus,,-29.0101,12.6521
Dry,Hemibagrus spilopterus,,-28.5467,12.0347
Dry,Hemibagrus spilopterus,,-28.1476,13.0447
Dry,Hemibagrus spilopterus,,-27.7244,11.3922
Dry,Hemibagrus spilopterus,,-27.273,10.9334
Dry,Hemibagrus spilopterus,,-26.5492,11.2165
Wet,Hemibagrus spilopterus,95,-34.0876,8.434
Wet,Hemibagrus spilopterus,95,-32.1175,8.9115
Wet,Hemibagrus spilopterus,144,-24.7629,9.2114
Wet,Hemibagrus spilopterus,160,-31.9505,10.2769
Wet,Hemibagrus spilopterus,160,-29.6582,8.8346
Wet,Hemibagrus spilopterus,170,-33.9321,6.5444
Wet,Hemibagrus spilopterus,196,-29.9322,8.6022
Wet,Hemibagrus spilopterus,219,-29.4713,11.7888
Wet,Hemibagrus spilopterus,220,-29.0765,10.3016
Wet,Hemibagrus spilopterus,222,-28.4825,9.3541
Wet,Hemibagrus spilopterus,250,-28.8829,11.416
Wet,Hemibagrus spilopterus,258,-30.4384,10.9208
Wet,Hemibagrus spilopterus,294,-29.3889,12.3947
Wet,Hemibagrus spilopterus,328,-31.7621,10.4497
Wet,Hemibagrus spilopterus,,-28.7196,11.3671
Dry,Labeo chrysophekadion,218,-29.4487,8.4159
Dry,Labeo chrysophekadion,245,-27.7436,7.4755
Dry,Labeo chrysophekadion,250,-29.958,9.5328
Dry,Labeo chrysophekadion,282,-29.6339,8.5985
Dry,Labeo chrysophekadion,285,-28.7582,8.5587
Dry,Labeo chrysophekadion,287,-32.3978,6.8615
Dry,Labeo chrysophekadion,290,-30.7843,9.2972
Dry,Labeo chrysophekadion,295,-33.2956,7.0226
Dry,Labeo chrysophekadion,310,-28.6163,7.6407
Dry,Labeo chrysophekadion,370,-32.5981,6.6432
Dry,Labeo chrysophekadion,435,-31.0772,7.9233
Wet,Labeo chrysophekadion,105,-30.8171,5.5955
Wet,Labeo chrysophekadion,107,-34.3347,7.967
Wet,Labeo chrysophekadion,110,-30.1068,6.7715
Wet,Labeo chrysophekadion,116,-34.0238,8.642
Wet,Labeo chrysophekadion,120,-33.6494,7.0844
Wet,Labeo chrysophekadion,120,-33.0961,6.7205
Wet,Labeo chrysophekadion,125,-30.4182,3.2096
Wet,Labeo chrysophekadion,127,-23.3086,6.7462
Wet,Labeo chrysophekadion,144,-34.4673,7.4074
Wet,Labeo chrysophekadion,159,-33.8023,7.836
Wet,Labeo chrysophekadion,168,-34.2241,7.2876
Wet,Labeo chrysophekadion,200,-31.9629,8.9581
Wet,Labeo chrysophekadion,248,-33.6353,8.9288
Wet,Labeo chrysophekadion,299,-33.6786,7.0886
Wet,Labeo chrysophekadion,355,-30.4396,9.777
Wet,Labeo chrysophekadion,,-33.7169,8.1593
Dry,Labiobarbus leptocheila,123,-30.6792,8.974
Dry,Labiobarbus leptocheila,125,-28.2644,8.1933
Dry,Labiobarbus leptocheila,146,-27.8457,7.7968
Dry,Labiobarbus leptocheila,148,-32.2721,7.5038
Dry,Labiobarbus leptocheila,166,-26.5473,7.876
Dry,Labiobarbus leptocheila,,-36.7168,10.3365
Dry,Labiobarbus leptocheila,,-36.437,7.5877
Dry,Labiobarbus leptocheila,,-31.9942,9.6236
Wet,Labiobarbus leptocheila,82,-32.7084,5.3967
Wet,Labiobarbus leptocheila,82,-30.7682,6.933
Wet,Labiobarbus leptocheila,85,-32.3838,6.2255
Wet,Labiobarbus leptocheila,85,-31.9171,5.5889
Wet,Labiobarbus leptocheila,85,-30.8269,4.778
Wet,Labiobarbus leptocheila,85,-27.735,5.0972
Wet,Labiobarbus leptocheila,93,-32.5065,6.3952
Wet,Labiobarbus leptocheila,95,-30.2875,7.6332
Wet,Labiobarbus leptocheila,96,-31.9274,9.6278
Wet,Labiobarbus leptocheila,97,-32.0919,4.795
Wet,Labiobarbus leptocheila,100,-29.3248,7.1358
Wet,Labiobarbus leptocheila,102,-33.4392,6.0011
Wet,Labiobarbus leptocheila,107,-33.0753,6.1691
Wet,Labiobarbus leptocheila,112,-30.6914,7.9165
Wet,Labiobarbus leptocheila,112,-28.263,10.1417
Wet,Labiobarbus leptocheila,115,-30.3002,6.8782
Wet,Labiobarbus leptocheila,120,-32.0111,5.8302
Wet,Labiobarbus leptocheila,130,-25.6417,6.4195
Wet,Labiobarbus leptocheila,133,-29.6762,6.6211
Wet,Labiobarbus leptocheila,135,-29.8971,6.6021
Wet,Labiobarbus leptocheila,138,-31.27,8.0731
Wet,Labiobarbus leptocheila,140,-30.8788,7.2041
Wet,Labiobarbus leptocheila,140,-26.0385,7.9407
Wet,Labiobarbus leptocheila,147,-26.9718,7.8732
Wet,Labiobarbus leptocheila,148,-26.717,9.0092
Wet,Labiobarbus leptocheila,149,-22.9314,7.6448
Wet,Labiobarbus leptocheila,155,-25.9639,7.2253
Dry,Labiobarbus siamensis,90,-29.1132,9.1738
Dry,Labiobarbus siamensis,104,-26.882,4.6951
Dry,Labiobarbus siamensis,128,-33.0943,9.1442
Dry,Labiobarbus siamensis,129,-29.813,7.4296
Dry,Labiobarbus siamensis,130,-32.6222,8.8596
Dry,Labiobarbus siamensis,145,-31.3238,8.37
Dry,Labiobarbus siamensis,,-26.4824,9.4492
Dry,Labiobarbus siamensis,,-26.2119,9.1232
Dry,Labiobarbus siamensis,,-26.0496,9.1921
Wet,Labiobarbus siamensis,76,-31.7757,6.9535
Wet,Labiobarbus siamensis,77,-31.7231,6.5158
Wet,Labiobarbus siamensis,78,-32.4916,6.058
Wet,Labiobarbus siamensis,78,-31.4783,7.0073
Wet,Labiobarbus siamensis,82,-32.1845,5.3158
Wet,Labiobarbus siamensis,100,-33.6438,7.5954
Wet,Labiobarbus siamensis,110,-33.9865,6.8381
Wet,Labiobarbus siamensis,110,-32.1576,7.2759
Wet,Labiobarbus siamensis,127,-26.9357,5.6357
Wet,Labiobarbus siamensis,129,-29.2763,6.578
Wet,Labiobarbus siamensis,130,-26.7513,5.6912
Wet,Labiobarbus siamensis,134,-27.1635,5.8513
Wet,Labiobarbus siamensis,,-28.9515,7.0833
Dry,Notopterus notopterus,172,-43.3122,2.6309
Dry,Notopterus notopterus,174,-27.2185,10.8469
Dry,Notopterus notopterus,183,-30.195,10.4572
Dry,Notopterus notopterus,183,-28.4508,9.0207
Dry,Notopterus notopterus,184,-29.7974,10.5812
Dry,Notopterus notopterus,189,-31.7843,10.1165
Dry,Notopterus notopterus,196,-29.5535,7.6337
Dry,Notopterus notopterus,202,-28.986,10.6837
Dry,Notopterus notopterus,203,-28.7694,11.1702
Dry,Notopterus notopterus,208,-30.2451,9.3689
Dry,Notopterus notopterus,208,-26.9649,9.0682
Dry,Notopterus notopterus,210,-28.584,8.1877
Dry,Notopterus notopterus,231,-34.3705,10.2934
Dry,Notopterus notopterus,248,-31.6599,11.1072
Dry,Notopterus notopterus,267,-30.8696,11.1204
Dry,Notopterus notopterus,,-29.0921,10.3854
Wet,Notopterus notopterus,148,-28.0568,8.4944
Wet,Notopterus notopterus,166,-29.0644,9.659
Wet,Notopterus notopterus,170,-32.6481,9.9289
Wet,Notopterus notopterus,170,-27.9832,8.9386
Wet,Notopterus notopterus,180,-37.322,5.5493
Wet,Notopterus notopterus,185,-39.9191,4.7959
