cruise,station,date,dateNew,time,timeNew,datetime,long,lat,bottDepth,depth,temp,sal,density,press,O2,PO4,SiO4,NO2,NO3,NH4
HOMZ16,1,,24-Dec-2016,,15:37,2016-12-24 15:37,109.20856,22.39993,2960,0,,,,,,0.39,2.67,0.01,0.00,0.00
HOMZ16,1,,24-Dec-2016,,15:37,2016-12-24 15:37,109.20856,22.39993,2960,20,,,,,,0.41,3.99,0.01,0.00,0.00
HOMZ16,1,,24-Dec-2016,,15:37,2016-12-24 15:37,109.20856,22.39993,2960,40,,,,,,0.41,2.84,0.01,0.00,0.02
HOMZ16,1,,24-Dec-2016,,15:37,2016-12-24 15:37,109.20856,22.39993,2960,50,,,,,,0.41,2.98,0.02,0.00,0.00
HOMZ16,1,,24-Dec-2016,,15:37,2016-12-24 15:37,109.20856,22.39993,2960,55,,,,,,0.50,6.30,0.05,0.00,0.04
HOMZ16,1,,24-Dec-2016,,15:37,2016-12-24 15:37,109.20856,22.39993,2960,60,,,,,,0.58,4.20,0.09,0.20,0.14
HOMZ16,1,,24-Dec-2016,,15:37,2016-12-24 15:37,109.20856,22.39993,2960,70,,,,,,1.11,9.44,0.25,5.21,0.08
HOMZ16,1,,24-Dec-2016,,15:37,2016-12-24 15:37,109.20856,22.39993,2960,90,,,,,,2.19,28.80,0.06,18.23,0.00
HOMZ16,1,,24-Dec-2016,,15:37,2016-12-24 15:37,109.20856,22.39993,2960,100,,,,,,2.36,33.00,0.04,20.03,0.00
HOMZ16,1,,24-Dec-2016,,15:37,2016-12-24 15:37,109.20856,22.39993,2960,120,,,,,,2.56,35.93,0.03,22.33,0.00
HOMZ16,1,,24-Dec-2016,,15:37,2016-12-24 15:37,109.20856,22.39993,2960,140,,,,,,2.68,40.45,0.01,23.63,0.00
HOMZ16,1,,24-Dec-2016,,15:37,2016-12-24 15:37,109.20856,22.39993,2960,150,,,,,,2.73,39.22,0.01,23.88,0.00
HOMZ16,1,,24-Dec-2016,,15:37,2016-12-24 15:37,109.20856,22.39993,2960,200,,,,,,2.87,47.44,0.01,24.66,0.00
HOMZ16,1,,24-Dec-2016,,15:37,2016-12-24 15:37,109.20856,22.39993,2960,250,,,,,,2.90,45.62,0.01,24.85,0.00
HOMZ16,1,,24-Dec-2016,,15:37,2016-12-24 15:37,109.20856,22.39993,2960,275,,,,,,2.94,49.18,0.01,25.34,0.00
HOMZ16,1,,24-Dec-2016,,15:37,2016-12-24 15:37,109.20856,22.39993,2960,300,,,,,,3.00,52.34,0.01,25.90,0.00
HOMZ16,1,,24-Dec-2016,,15:37,2016-12-24 15:37,109.20856,22.39993,2960,325,,,,,,3.02,53.20,0.01,27.01,0.00
HOMZ16,1,,24-Dec-2016,,15:37,2016-12-24 15:37,109.20856,22.39993,2960,350,,,,,,3.06,58.02,0.01,28.57,0.00
HOMZ16,1,,24-Dec-2016,,15:37,2016-12-24 15:37,109.20856,22.39993,2960,400,,,,,,3.14,65.67,0.00,31.43,0.00
HOMZ16,1,,24-Dec-2016,,15:37,2016-12-24 15:37,109.20856,22.39993,2960,500,,,,,,3.26,79.50,0.02,34.87,0.00
HOMZ16,1,,24-Dec-2016,,15:37,2016-12-24 15:37,109.20856,22.39993,2960,650,,,,,,3.41,91.93,0.01,39.65,0.00
HOMZ16,1,,24-Dec-2016,,15:37,2016-12-24 15:37,109.20856,22.39993,2960,850,,,,,,3.50,117.43,0.01,43.82,0.00
HOMZ16,1,,24-Dec-2016,,15:37,2016-12-24 15:37,109.20856,22.39993,2960,1000,,,,,,3.54,125.89,0.01,44.38,0.00
HOMZ16,1,,24-Dec-2016,,15:37,2016-12-24 15:37,109.20856,22.39993,2960,1250,,,,,,3.45,139.85,0.01,43.98,0.00
HOMZ16,1,,24-Dec-2016,,15:37,2016-12-24 15:37,109.20856,22.39993,2960,1500,,,,,,3.36,129.58,0.01,43.35,0.00
HOMZ16,2,,,,,2016-12-25 00:36,109.069,21.8955,2908,0,,,,,,0.41,2.98,0.01,0.00,0.00
HOMZ16,2,,,,,2016-12-25 00:36,109.069,21.8955,2908,60,,,,,,0.52,3.41,0.08,0.00,0.00
HOMZ16,2,,,,,2016-12-25 00:36,109.069,21.8955,2908,65,,,,,,0.37,2.56,0.01,0.00,0.00
HOMZ16,2,,,,,2016-12-25 00:36,109.069,21.8955,2908,90,,,,,,0.55,5.62,0.09,0.09,0.03
HOMZ16,2,,,,,2016-12-25 00:36,109.069,21.8955,2908,120,,,,,,1.41,16.13,0.05,12.81,0.02
HOMZ16,2,,,,,2016-12-25 00:36,109.069,21.8955,2908,140,,,,,,2.31,30.51,0.01,21.91,0.00
HOMZ16,2,,,,,2016-12-25 00:36,109.069,21.8955,2908,160,,,,,,2.68,39.39,0.01,23.83,0.02
HOMZ16,2,,,,,2016-12-25 00:36,109.069,21.8955,2908,175,,,,,,2.74,40.50,0.01,24.33,0.00
HOMZ16,2,,,,,2016-12-25 00:36,109.069,21.8955,2908,200,,,,,,2.76,40.84,0.01,24.74,0.00
HOMZ16,2,,,,,2016-12-25 00:36,109.069,21.8955,2908,260,,,,,,2.83,42.13,0.19,23.38,0.00
HOMZ16,2,,,,,2016-12-25 00:36,109.069,21.8955,2908,280,,,,,,2.86,44.08,0.83,22.89,0.00
HOMZ16,2,,,,,2016-12-25 00:36,109.069,21.8955,2908,300,,,,,,2.90,47.22,0.02,25.09,0.00
HOMZ16,2,,,,,2016-12-25 00:36,109.069,21.8955,2908,350,,,,,,2.97,52.35,0.01,27.00,0.00
HOMZ16,2,,,,,2016-12-25 00:36,109.069,21.8955,2908,400,,,,,,3.05,58.70,0.02,29.48,0.00
HOMZ16,2,,,,,2016-12-25 00:36,109.069,21.8955,2908,500,,,,,,3.21,74.94,0.00,34.72,0.00
HOMZ16,2,,,,,2016-12-25 00:36,109.069,21.8955,2908,650,,,,,,3.37,95.59,0.00,39.40,0.00
HOMZ16,2,,,,,2016-12-25 00:36,109.069,21.8955,2908,850,,,,,,3.43,115.46,0.00,42.85,0.00
HOMZ16,2,,,,,2016-12-25 00:36,109.069,21.8955,2908,1000,,,,,,3.49,129.06,0.00,44.35,0.00
HOMZ16,3,,,,,2016-12-25 00:25,108.44715,20.59905,2990,0,,,,,,0.40,2.63,0.00,0.00,0.00
HOMZ16,3,,,,,2016-12-25 00:25,108.44715,20.59905,2990,65,,,,,,0.72,3.77,0.52,0.00,0.00
HOMZ16,3,,,,,2016-12-25 00:25,108.44715,20.59905,2990,70,,,,,,0.72,4.20,0.49,0.24,0.00
HOMZ16,3,,,,,2016-12-25 00:25,108.44715,20.59905,2990,75,,,,,,0.72,5.26,0.16,1.79,0.00
HOMZ16,3,,,,,2016-12-25 00:25,108.44715,20.59905,2990,100,,,,,,1.81,19.50,0.05,14.88,0.00
HOMZ16,3,,,,,2016-12-25 00:25,108.44715,20.59905,2990,150,,,,,,2.73,41.08,0.01,24.37,0.00
HOMZ16,3,,,,,2016-12-25 00:25,108.44715,20.59905,2990,225,,,,,,2.81,41.32,0.01,23.99,0.00
HOMZ16,3,,,,,2016-12-25 00:25,108.44715,20.59905,2990,250,,,,,,2.82,42.69,0.01,23.88,0.00
HOMZ16,3,,,,,2016-12-25 00:25,108.44715,20.59905,2990,275,,,,,,2.85,45.39,0.01,24.63,0.00
HOMZ16,3,,,,,2016-12-25 00:25,108.44715,20.59905,2990,300,,,,,,2.90,48.34,0.01,25.48,0.00
HOMZ16,3,,,,,2016-12-25 00:25,108.44715,20.59905,2990,350,,,,,,2.98,54.74,0.00,27.72,0.00
HOMZ16,3,,,,,2016-12-25 00:25,108.44715,20.59905,2990,400,,,,,,3.04,63.94,0.01,31.69,0.00
HOMZ16,3,,,,,2016-12-25 00:25,108.44715,20.59905,2990,500,,,,,,3.15,71.45,0.01,33.42,0.00
HOMZ16,3,,,,,2016-12-25 00:25,108.44715,20.59905,2990,600,,,,,,3.29,86.98,0.00,37.22,0.00
HOMZ16,3,,,,,2016-12-25 00:25,108.44715,20.59905,2990,850,,,,,,3.45,116.71,0.01,42.97,0.00
HOMZ16,3,,,,,2016-12-25 00:25,108.44715,20.59905,2990,1000,,,,,,3.48,128.80,0.00,43.84,0.00
HOMZ16,3,,,,,2016-12-25 00:25,108.44715,20.59905,2990,1250,,,,,,3.40,146.40,0.00,44.05,0.00
HOMZ16,3,,,,,2016-12-25 00:25,108.44715,20.59905,2990,1500,,,,,,3.40,149.87,0.00,43.99,0.00
HOMZ16,4,,,,,2016-12-25 17:01,108.21853,19.5968,3495,0,,,,,,0.34,2.31,0.01,0.22,0.02
HOMZ16,4,,,,,2016-12-25 17:01,108.21853,19.5968,3495,40,,,,,,0.37,2.45,0.01,0.48,0.05
HOMZ16,4,,,,,2016-12-25 17:01,108.21853,19.5968,3495,65,,,,,,0.60,4.13,0.06,0.90,0.06
HOMZ16,4,,,,,2016-12-25 17:01,108.21853,19.5968,3495,70,,,,,,0.64,4.38,0.08,1.08,0.07
