Year,Cruises,Publications,Sediment Cores,Age Model Count,Radiocarbon Count
1951,1,0,15,0,0
1952,1,0,6,0,0
1953,0,0,0,0,0
1954,1,0,24,0,0
1955,0,0,0,0,0
1956,1,0,15,0,0
1957,4,0,13,0,0
1958,0,0,0,0,0
1959,1,0,41,0,0
1960,0,0,0,0,0
1961,1,0,18,0,0
1962,2,1,2,1,0
1963,0,0,0,0,0
1964,2,0,61,0,0
1965,6,0,62,0,0
1966,5,1,43,0,0
1967,3,0,24,0,0
1968,1,1,7,1,1
1969,0,1,38,1,0
1970,0,2,0,1,1
1971,4,2,27,0,0
1972,2,0,11,0,0
1973,1,4,2,0,0
1974,1,1,4,0,0
1975,5,1,18,0,0
1976,1,2,13,1,1
1977,6,1,37,0,0
1978,2,0,12,0,0
1979,2,1,8,0,0
1980,4,1,22,1,1
1981,4,0,14,0,0
1982,3,1,33,1,0
1983,1,5,4,3,1
1984,2,3,9,1,1
1985,1,4,1,1,1
1986,3,3,9,2,2
1987,1,5,3,4,1
1988,3,2,23,2,1
1989,5,6,23,3,2
1990,3,3,5,2,2
1991,2,5,42,3,1
1992,7,9,57,6,4
1993,2,3,8,2,0
1994,7,7,38,4,4
1995,4,15,25,9,5
1996,8,7,98,5,3
1997,4,14,13,10,7
1998,7,6,53,4,3
1999,12,13,76,10,6
2000,5,20,26,12,10
2001,5,10,33,8,5
2002,7,10,36,7,3
2003,3,19,7,15,5
2004,3,25,22,12,9
2005,5,16,13,8,4
2006,2,23,58,15,10
2007,4,26,42,19,12
2008,1,12,1,6,4
2009,4,13,89,9,4
2010,2,17,66,10,6
2011,,11,,8,5
2012,,21,,15,7
2013,,15,,5,2
2014,,26,,15,10
2015,,19,,11,7
2016,,12,,7,3
