Year,Cruises,Publications,Sediment Cores
1951,1,0,15
1952,1,0,6
1953,0,0,0
1954,1,0,24
1955,0,0,0
1956,1,0,15
1957,4,0,13
1958,0,0,0
1959,1,0,41
1960,0,0,0
1961,1,0,18
1962,2,1,2
1963,0,0,0
1964,2,0,61
1965,6,0,62
1966,5,1,43
1967,3,0,24
1968,1,1,7
1969,0,1,38
1970,0,2,0
1971,4,2,27
1972,2,0,11
1973,1,4,2
1974,1,1,4
1975,5,1,18
1976,1,2,13
1977,6,1,37
1978,2,0,12
1979,2,1,8
1980,4,1,22
1981,4,0,14
1982,3,1,33
1983,1,5,4
1984,2,3,9
1985,1,4,1
1986,3,3,9
1987,1,5,3
1988,3,2,23
1989,5,6,23
1990,3,3,5
1991,2,5,42
1992,7,9,57
1993,2,3,8
1994,7,7,38
1995,4,15,25
1996,8,7,98
1997,4,14,13
1998,7,6,53
1999,12,13,76
2000,5,20,26
2001,5,10,33
2002,7,10,36
2003,3,19,7
2004,3,25,22
2005,5,16,13
2006,2,23,58
2007,4,26,42
2008,1,12,1
2009,4,13,89
2010,2,17,66
2011,,12,
2012,,21,
2013,,15,
2014,,26,
2015,,19,
2016,,12,
